complexity_score,lines_of_code,import_count,function_count,label
1,16,3,1,0
53,290,4,20,1
6,28,0,2,0
1,10,1,3,0
22,59,1,5,1
33,167,5,15,1
3,22,0,1,0
1,33,0,1,0
1,14,0,3,1
1,10,0,3,0
1,11,0,3,0
6,68,17,4,0
260,1013,1,84,0
25,113,5,8,1
180,596,11,52,1
334,1305,32,138,1
66,240,12,27,1
2,19,1,1,1
12,109,1,22,1
2,4,0,1,0
59,258,10,33,1
43,190,2,14,1
101,362,3,63,1
17,67,4,8,1
13,80,7,7,0
26,143,1,26,1
44,155,2,12,1
1,15,0,0,0
4,24,0,2,0
7,25,1,3,1
6,23,3,3,0
46,148,8,15,1
1,9,0,0,1
1,1,0,0,0
2,2,1,0,0
22,129,2,17,1
3,50,1,6,1
1,13,0,6,0
14,59,2,6,1
4,16,1,3,0
4,19,0,2,1
14,54,3,9,1
14,58,2,9,1
5,28,0,3,0
62,140,0,19,1
19,103,3,8,1
19,91,5,8,1
22,55,3,8,1
17,94,2,15,0
2,86,0,1,0
5,17,0,2,1
3,12,1,1,0
6,14,1,0,1
4,19,0,2,0
1,2,0,0,0
12,63,1,3,0
5,5,0,1,1
10,46,3,3,1
7,13,0,3,0
25,90,10,8,1
10,43,1,9,0
147,396,0,53,1
9,41,0,6,1
4,27,0,5,0
6,40,0,7,1
63,234,4,22,1
3,16,3,2,1
13,78,0,13,1
22,100,2,13,1
4,23,1,4,1
1,6,2,0,1
1,12,3,0,1
2,2,0,0,1
2,2,0,0,0
2,3,1,0,0
13,47,0,1,1
4,31,3,2,1
1,9,0,2,0
1,2,1,0,0
1,3,1,0,0
3,16,1,2,1
12,110,3,8,1
4,23,1,2,0
6,157,2,19,1
4,129,2,12,0
17,178,2,15,0
7,70,3,0,0
9,89,2,6,1
7,216,4,12,0
4,85,2,12,0
15,209,2,18,0
13,206,2,13,0
17,671,2,25,1
1,10,2,0,0
7,168,2,11,0
20,364,2,19,0
4,98,2,12,0
24,477,3,26,1
1,82,3,0,0
2,102,2,0,0
9,214,3,16,0
12,178,3,13,1
7,138,0,1,0
8,31,0,0,0
64,426,0,9,0
1,35,0,0,0
1,35,0,0,0
1,16,1,0,0
1,21,5,0,0
1,32,5,0,0
1,38,5,0,1
12,167,0,1,0
1,34,1,0,0
68,571,0,13,0
2,15,2,3,0
7,29,1,4,0
1,4,1,0,0
32,222,7,27,1
8,67,2,5,0
3,28,2,1,0
9,104,2,4,0
16,92,4,6,0
6,50,2,2,0
15,86,4,7,0
5,16,2,0,0
4,52,2,2,0
2,39,2,2,0
9,43,2,5,0
8,65,2,4,0
6,43,2,1,0
11,103,2,4,0
6,68,2,2,0
1,15,2,0,0
1,16,1,0,0
8,108,3,4,0
3,121,4,6,0
5,89,3,8,0
19,120,4,9,0
18,121,2,4,0
8,93,3,7,0
11,91,3,8,0
6,101,4,7,0
1,76,2,0,0
1,29,3,0,0
4,122,4,6,0
6,120,4,6,0
5,97,3,7,0
1,89,4,6,0
9,96,4,7,0
7,124,4,7,0
4,193,3,3,1
9,99,6,4,0
11,597,3,3,1
3,40,3,0,0
6,71,2,0,1
3,101,3,1,1
3,30,4,0,0
2,18,3,1,0
30,1400,11,39,1
2,242,4,0,0
8,229,5,4,0
6,27,5,1,0
20,306,6,15,1
4,102,5,1,0
14,230,6,7,0
1,47,4,3,0
5,69,8,2,0
36,1630,11,44,1
335,6357,24,248,1
11,95,1,7,0
1,18,3,0,0
1,11,3,0,0
1,48,2,4,0
11,379,4,5,1
16,121,3,8,1
8,205,6,9,1
9,163,2,18,1
14,315,4,2,1
11,117,3,2,0
1,40,2,0,0
1,14,2,1,0
1,11,2,1,0
18,179,2,4,1
2,22,2,0,0
1,20,2,1,0
7,166,3,3,1
4,124,2,5,1
6,149,4,1,0
2,16,2,0,0
5,20,2,0,0
5,17,3,0,0
2,53,2,0,0
2,126,2,1,1
4,133,5,7,1
40,423,2,12,1
1,17,2,0,0
1,29,2,0,0
6,74,3,3,0
1,11,2,0,0
1,30,2,1,0
1,53,2,0,0
4,199,2,8,1
1,11,2,0,0
2,10,2,0,0
2,136,2,0,0
1,11,2,0,0
1,11,2,0,0
1,10,2,0,0
1,8,0,0,0
2533,16197,0,1489,0
3,30,0,0,0
2,6,0,0,0
99,516,0,114,0
4,16,0,3,0
4,343,0,2,0
1,62,0,7,0
1,6,0,0,0
6,34,0,3,0
2,21,0,0,0
4,34,0,3,0
1,48,0,1,0
6,66,0,6,0
16,130,0,6,0
1,24,0,1,0
8,72,0,3,0
1,26,0,1,0
21,216,0,18,0
109,1774,0,216,0
28,93,0,12,0
1,18,0,0,0
3,20,0,2,0
98,1634,0,315,0
1948,20385,0,3846,0
39,127,0,15,0
5,14,0,4,0
503,1664,0,239,0
29,1816,0,284,0
8,614,0,125,0
30,1293,0,236,0
1,10,0,2,0
33,957,0,154,0
1,210,0,28,0
3,418,0,71,0
1,4,0,0,0
3,36,0,6,0
4962,25517,0,2729,0
89,400,0,46,0
323,6,0,180,0
440,1435,0,285,0
37,452,0,76,0
4,88,0,21,0
41,707,0,143,0
8,114,0,25,0
25,662,0,171,0
71,928,0,138,0
47,343,0,68,0
2,185,7,3,0
1,11,3,0,0
24,139,3,10,0
11,67,2,6,1
5,42,2,4,0
8,50,2,5,0
1,5,1,0,0
3,63,2,11,0
95,331,6,28,0
1,23,3,0,0
62,273,10,4,0
75,266,6,23,1
1,23,2,0,0
12,34,1,5,0
12,114,4,9,0
21,162,7,13,0
701,2214,25,206,1
517,2982,48,252,0
24,83,0,13,0
25,154,6,7,0
48,165,3,17,0
21,36,2,8,0
143,570,3,57,0
7,21,3,3,0
339,1279,9,138,0
2,6,2,1,0
6,21,0,2,0
28,59,0,12,0
3,16,1,4,0
1,9,0,1,0
48,200,5,18,1
4,32,1,5,0
5,23,0,3,1
31,503,17,18,1
8,219,6,5,0
30,803,8,3,0
33,800,13,17,0
9,190,6,12,0
12,627,10,15,0
18,318,4,28,0
4,137,4,10,0
3,88,6,4,0
7,309,5,23,0
36,1304,10,91,0
77,620,7,44,1
1,26,3,0,0
45,411,12,10,0
5,150,2,5,0
6,29,2,0,0
10,175,8,0,0
25,481,9,8,0
2,19,4,0,0
184,4459,11,129,1
17,359,10,4,1
137,3131,15,103,0
3,30,2,1,0
2,153,4,1,0
3,72,2,0,0
4,197,2,1,1
216,2354,8,158,0
1,201,2,0,0
8,411,15,3,0
13,350,16,7,0
4,88,6,3,0
79,2958,10,72,0
64,453,6,20,0
94,1111,13,77,0
32,1038,17,13,0
80,1246,24,42,0
13,344,4,3,0
12,199,7,5,1
14,432,8,15,0
1,17,2,0,0
4,86,7,1,0
5,55,4,2,0
3,50,5,4,0
13,104,8,1,0
3,9,1,2,0
5,60,4,1,0
6,20,3,4,0
1,12,2,0,0
12,138,8,8,0
1,10,0,3,0
1,15,1,1,0
1,4,1,0,0
6,47,0,1,0
1,114,0,9,0
1,36,0,0,0
51,245,0,17,0
44,250,0,28,0
6,9,0,1,1
27,231,0,15,0
28,185,4,31,0
1,2,0,0,0
3,21,2,0,0
5,47,8,1,0
31,132,7,8,0
1,198,3,0,0
1,65,0,15,0
1,12,4,0,0
1,2,0,0,0
5,77,0,10,0
2,104,0,2,0
21,355,3,24,0
6,73,2,5,0
1,15,0,1,0
37,267,2,24,0
65,432,5,55,1
5,64,1,10,0
65,619,6,59,0
7,99,3,7,0
95,346,4,14,1
5,36,0,3,0
2,20,0,2,0
31,119,8,14,1
1,8,0,0,0
3,31,2,3,0
26,142,4,6,0
8,65,1,1,0
65,281,4,30,0
13,43,0,10,0
7,100,3,12,0
27,177,1,20,0
9,57,2,7,0
1,10,4,0,0
7,87,3,11,0
7,96,3,13,0
48,367,3,23,1
106,574,5,58,0
3,89,3,8,0
6,65,2,10,0
20,134,4,15,0
48,377,4,42,0
2,77,2,7,0
12,145,6,16,0
5,92,3,8,0
1,60,2,6,0
5,94,3,13,0
1,40,2,2,0
16,220,2,26,0
13,85,2,6,0
4,80,2,10,0
15,246,3,28,0
39,225,7,26,0
4,13,0,1,0
1,20,4,0,0
5,25,0,2,0
4,20,0,0,0
3,38,8,1,0
2,17,2,1,0
17,92,5,5,0
2,7,0,2,0
1,3,0,0,0
1,2,1,0,0
1,7,0,0,0
1,7,0,0,0
1,8,0,0,0
1,11,0,0,0
1,7,0,0,0
1,10,0,0,0
4,17,2,1,0
4,17,2,1,0
1,2,1,0,0
2,10,0,0,0
8,74,5,15,0
1,46,0,16,0
1,6,0,2,0
2,16,0,5,0
1,13,0,4,0
1,10,0,3,0
1,10,0,3,0
2,7,0,2,0
2,16,0,5,0
1,6,0,2,0
1,5,0,2,0
3,55,0,18,0
1,6,0,2,0
1,6,0,2,0
3,32,2,3,0
1,4,0,1,0
1,8,0,2,0
1,8,0,2,0
2,15,0,4,0
2,7,0,2,0
1,7,0,0,0
1,8,0,0,0
1,3,0,1,0
1,4,1,1,0
1,4,1,1,0
1,1,0,0,0
1,3,0,1,0
1,4,1,1,0
1,16,0,1,0
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
2,4,0,0,0
1,5,1,0,0
2,6,0,2,0
2,6,0,2,0
1,20,0,7,0
1,18,0,6,0
1,8,0,3,0
1,20,0,7,0
1,12,0,6,0
1,18,0,6,0
1,13,0,7,0
1,20,0,7,0
1,17,0,6,0
1,18,0,6,0
1,27,0,10,0
1,12,0,5,0
1,20,0,7,0
1,12,0,6,0
1,10,0,4,0
1,17,0,6,0
1,18,0,6,0
1,10,0,5,0
1,7,0,3,0
1,35,0,13,0
1,130,0,45,0
1,120,0,40,0
4,17,0,2,0
4,14,0,3,0
1,5,0,0,0
1,4,0,1,0
1,2,0,1,0
1,18,0,7,0
1,18,0,7,0
1,7,0,2,0
3,11,0,4,0
2,9,0,3,0
1,6,0,2,0
1,16,0,9,0
1,4,0,1,0
1,6,0,2,0
1,9,0,3,1
2,8,0,3,0
1,6,0,2,0
1,3,0,1,0
1,20,0,6,0
1,28,0,11,0
1,6,0,2,0
1,7,0,3,0
1,7,0,3,0
1,2,0,1,0
1,4,0,2,0
1,6,0,4,0
1,6,0,4,0
1,7,0,3,0
1,7,0,3,0
1,6,0,4,0
1,6,0,3,0
1,2,0,1,0
1,4,0,2,0
1,6,0,4,0
1,8,0,4,0
1,6,0,2,0
1,4,0,2,0
1,6,0,2,0
1,4,0,2,0
1,53,0,33,0
1,17,0,8,0
1,26,0,15,0
1,7,0,3,0
1,3,0,2,0
1,3,0,2,0
1,4,0,2,0
1,8,0,2,0
1,1,0,0,0
1,3,0,2,0
1,3,0,1,0
1,5,0,2,0
1,7,0,3,0
1,6,0,2,0
2,7,0,1,0
1,9,1,0,0
1,12,1,0,0
1,12,1,1,0
1,4,1,0,0
1,4,1,0,0
1,4,1,0,0
1,6,1,0,0
1,6,1,0,0
1,6,1,0,0
2,8,1,0,0
1,33,0,12,0
1,19,0,8,0
1,8,0,3,0
1,6,0,4,0
1,13,0,7,0
1,31,0,11,0
1,16,0,7,0
3,24,0,10,0
1,4,0,1,0
1,15,0,4,0
1,35,0,8,0
1,15,0,4,0
1,35,0,8,0
1,8,0,2,0
1,8,0,2,0
1,5,0,1,0
1,5,0,1,0
1,8,0,3,0
6,41,0,9,0
1,9,0,4,0
1,16,0,10,0
1,8,0,3,0
2,25,0,7,0
1,22,0,6,0
1,10,0,3,0
1,2,0,0,0
1,4,0,1,0
1,2,0,1,0
1,2,0,0,0
1,8,0,0,0
1,18,0,5,0
2,19,0,7,0
1,13,0,5,0
2,14,0,4,0
2,17,0,4,0
1,12,0,5,0
1,7,0,1,0
3,35,1,7,0
1,56,0,20,0
1,14,0,3,0
1,34,0,9,0
1,19,1,1,0
3,22,2,6,0
14,731,5,93,0
7,310,2,28,0
2,95,0,9,0
1,1,0,0,0
1,2,1,0,0
1,1,0,0,0
1,0,0,0,0
1,0,0,0,0
1,12,0,1,0
1,1,0,0,0
1,1,0,0,0
1,10,0,0,0
4,10,0,3,0
4,10,0,3,0
4,10,0,3,0
1,199,5,28,0
1,26,3,0,0
1,2,1,0,0
1,2,1,0,0
1,2,1,0,0
1,18,2,0,0
3,54,7,1,0
22,184,3,21,0
19,107,0,3,0
586,3980,4,261,0
99,3095,4,194,0
3,54,3,3,0
11,212,2,17,0
19,167,6,18,0
9,68,0,4,0
8,70,6,6,0
10,67,5,7,0
3,24,1,1,0
1,19,0,1,0
7,51,3,4,1
11,61,0,2,0
3,22,0,1,0
5,48,3,4,1
11,50,2,4,1
1,24,1,2,1
3,24,0,3,0
3,34,0,3,0
4,90,2,3,0
3,29,2,1,0
1,6,0,0,0
4,24,1,2,0
15,47,2,5,0
6,77,2,12,0
14,90,5,11,0
14,86,4,12,0
28,146,4,11,0
3,22,1,1,0
13,49,0,2,0
4,20,0,4,0
31,2347,2,625,0
39,643,2,189,0
35,3139,2,786,0
29,258,2,66,1
2,14,1,2,0
2,53,1,14,1
28,2554,2,609,0
21,191,1,36,0
126,1285,1,258,0
2,30,2,8,0
15,52,1,8,1
1,8,1,2,0
2,37,1,6,0
1,7,2,0,0
21,255,1,4,0
9,228,1,13,0
14,112,1,9,0
6,19,1,3,0
5,20,1,3,0
1,9,0,0,0
5,65,5,0,0
1,17,5,3,0
2,14,1,1,0
2,18,1,0,0
3,38,1,3,0
2,25,1,0,0
1,25,1,0,0
1,20,1,1,0
1,38,1,2,0
4,28,1,1,0
2,28,1,0,0
3,43,1,1,0
2,22,1,0,0
4,64,1,0,0
1,27,1,0,0
11,63,1,1,0
1,31,1,1,0
6,16,1,0,0
5,19,1,0,0
21,81,1,7,0
8,47,1,5,0
2,15,1,0,0
1,36,1,0,0
4,45,1,0,0
1,30,1,0,0
4,21,1,0,0
2,13,1,0,0
2,14,1,0,0
2,18,1,0,0
1,2,0,0,0
3,18,1,0,0
3,11,1,0,0
3,32,1,0,0
4,20,1,1,0
14,127,1,12,0
578,2516,11,235,0
1,35,0,2,0
112,663,2,70,0
47,334,1,27,0
26,86,0,15,0
2,31,3,0,0
5,59,3,0,0
2,30,3,0,0
1,52,4,0,0
4,176,4,2,0
1,32,3,0,0
5,106,3,0,0
2,148,4,3,0
6,53,3,1,0
1,35,4,0,0
3,213,3,3,0
2,96,3,0,0
4,93,3,1,0
1,62,3,0,0
2,124,3,2,0
11,122,4,1,0
3,235,3,0,0
1,16,3,0,0
1,39,3,0,0
11,296,4,5,0
1,122,3,1,0
5,38,3,3,0
1,19,3,2,0
5,40,3,2,0
1,79,6,2,0
1,11,3,0,0
1,47,3,0,0
3,81,5,0,0
11,114,5,3,0
6,55,4,2,0
1,17,3,0,0
27,396,4,22,0
5,284,4,0,0
4,155,4,4,0
2,114,4,0,0
2,391,3,0,0
1,49,4,0,0
1,10,3,0,0
4,33,3,0,0
1,27,3,0,0
2,375,3,2,0
14,294,6,3,0
8,460,3,14,0
1,65,3,0,0
2,127,3,2,0
5,48,3,2,0
1,9,3,0,0
4,49,3,0,0
3,66,3,0,0
1,63,3,0,0
1,87,3,0,0
1,36,3,3,0
3,26,3,0,0
1,43,3,0,0
1,107,3,0,0
1,39,3,0,0
2,39,3,0,0
1,32,3,0,0
1,55,3,0,0
1,34,3,0,0
1,46,3,0,0
1,93,3,0,0
1,31,3,0,0
1,42,3,0,0
2,57,3,0,0
1,47,3,0,0
1,32,3,0,0
3,91,3,0,0
6,273,3,6,0
1,34,3,0,0
21,227,3,2,0
1,72,3,0,0
1,33,3,0,0
1,43,3,0,0
1,69,3,0,0
3,227,3,0,0
17,186,4,2,0
3,49,3,3,0
2,45,3,0,0
4,169,3,3,0
1,12,3,0,0
6,124,3,0,0
2,42,3,0,0
1,51,4,0,0
13,330,5,4,0
3,124,3,5,0
5,169,3,0,0
1,83,4,0,0
9,340,3,1,0
1,66,3,0,0
2,65,3,1,0
2,197,4,0,0
1,190,4,0,0
1,63,3,0,0
4,66,3,1,0
1,99,3,0,0
1,55,3,0,0
1,60,3,0,0
1,62,4,0,0
2,43,3,0,0
4,75,3,3,0
2,153,4,0,0
1,153,3,0,0
2,19,1,1,0
11,75,3,1,0
1,1,0,0,0
1,3,1,0,0
1,1,0,0,0
1,1,0,0,0
1,5,1,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,7,1,0,0
178,989,0,6,0
9,672,2,8,0
1,1,0,0,0
1,25,0,0,0
8,235,1,5,0
225,669,0,70,0
1282,4973,0,691,0
1,11,0,2,0
1,34,0,4,0
1,11,0,2,0
1,30,0,3,0
1,35,0,4,0
1,11,0,2,0
1,11,0,2,0
1,30,0,3,0
12,63,0,14,0
1,14,0,1,0
1,10,0,2,0
1,50,0,12,0
1,31,0,3,0
1,35,0,4,0
1,34,0,4,0
6,46,0,7,0
13,77,0,6,0
16,161,0,10,0
6,61,0,2,0
16,176,0,12,0
6,62,0,2,0
9,117,0,10,0
8,110,0,9,0
6,61,0,2,0
16,194,0,13,0
18,107,0,9,0
50,147,0,15,0
27,93,0,10,0
6,57,0,2,0
32,132,0,21,0
21,124,0,13,0
21,129,0,13,0
16,170,0,12,0
63,164,0,19,0
18,106,0,9,0
72,185,0,13,0
8,69,0,3,0
15,104,0,6,0
6,59,0,2,0
7,84,0,3,0
7,81,0,3,0
7,83,0,3,0
8,95,0,7,0
25,111,0,10,0
10,74,0,3,0
10,70,0,3,0
10,74,0,3,0
10,74,0,3,0
10,70,0,3,0
10,74,0,3,0
10,74,0,3,0
10,74,0,3,0
10,74,0,5,0
39,113,0,9,0
39,115,0,9,0
39,115,0,9,0
39,115,0,9,0
9,83,0,4,0
6,71,0,2,0
8,118,0,9,0
32,129,0,5,0
6,64,0,3,0
6,63,0,2,0
15,75,0,4,0
15,79,0,4,0
34,111,0,4,0
13,80,0,5,0
8,100,0,3,0
8,100,0,3,0
12,81,0,8,0
33,131,0,16,0
33,129,0,16,0
25,127,0,17,0
23,100,0,17,0
74,167,0,17,0
62,161,0,17,0
47,123,0,10,0
17,100,0,12,0
20,82,0,11,0
57,145,0,14,0
8,70,0,4,0
19,112,0,7,0
19,154,0,10,0
20,82,0,11,0
15,98,0,8,0
9,87,0,3,0
8,108,0,9,0
24,129,0,18,0
13,81,0,6,0
28,118,0,8,0
8,123,0,9,0
9,89,0,3,0
26,142,0,14,0
8,72,0,6,0
25,131,0,12,0
13,99,0,7,0
19,121,0,7,0
14,66,0,2,0
27,92,0,10,0
20,88,0,9,0
30,105,0,9,0
49,207,0,19,0
20,82,0,11,0
20,81,0,11,0
6,62,0,2,0
6,95,0,6,0
6,66,0,2,0
24,126,0,17,0
36,104,0,5,0
36,106,0,5,0
6,65,0,2,0
13,91,0,4,0
25,127,0,17,0
35,141,0,9,0
8,64,0,3,0
8,69,0,3,0
9,81,0,3,0
96,214,0,14,0
7,86,0,7,0
6,63,0,2,0
11,75,0,6,0
69,150,0,13,0
117,175,0,23,0
7,71,0,4,0
26,129,0,8,0
26,131,0,8,0
21,90,0,12,0
10,74,0,3,0
6,61,0,2,0
28,136,0,19,0
24,94,0,13,0
10,74,0,3,0
27,122,0,14,0
8,71,0,5,0
16,96,0,5,0
6,63,0,3,0
24,125,0,10,0
21,111,0,8,0
12,94,0,6,0
6,60,0,2,0
6,60,0,2,0
30,116,0,16,0
53,170,0,19,0
7,87,0,7,0
6,60,0,2,0
6,57,0,2,0
10,86,0,6,0
10,79,0,3,0
6,59,0,2,0
35,126,0,16,0
32,107,0,15,0
32,106,0,15,0
32,105,0,15,0
3,5,0,1,1
1282,4973,0,691,0
2,20,0,2,0
1,4,0,1,0
2034,12406,0,866,0
1691,2,0,449,0
3310,17366,0,1557,0
2783,2,0,807,0
1098,2,0,360,0
8434,139265,0,12798,0
14,152,0,30,0
1,81,4,0,0
26,52,2,1,0
9,32,0,5,1
36,101,18,11,0
51,165,6,20,1
4,17,3,3,1
15,58,5,8,0
30,123,8,19,0
81,239,7,29,0
1,4,1,1,0
2,27,0,3,0
1,4,1,1,0
23,48,4,6,1
1,14,0,1,0
1,16,1,3,0
15,70,2,6,0
9,53,2,3,0
1,4,1,1,0
12,35,3,2,0
64,116,9,6,0
1,14,2,0,0
3,22,2,4,1
44,101,1,20,0
20,59,1,3,1
1,73,10,0,0
11,49,4,7,0
46,93,3,18,0
1,32,8,0,0
3,13,1,1,0
2,5,0,2,0
5,38,2,1,0
7,31,1,4,0
1,4,0,1,0
14,76,3,13,0
1,39,2,0,0
71,234,7,41,1
1,6,0,1,0
1,3,0,1,0
1,76,9,0,0
4,29,1,2,0
17,54,4,6,0
11,54,6,7,0
19,50,6,4,0
1,4,1,1,0
31,66,3,9,0
20,73,3,6,0
1,9,0,1,0
18,68,3,4,0
17,72,3,6,0
6,18,3,2,0
48,105,5,11,0
8,30,2,6,0
17,56,4,8,1
1,25,7,2,0
2,3,0,1,0
6,179,28,2,0
38,152,2,9,1
3,37,0,6,0
6,18,3,2,0
1,12,3,3,0
23,76,2,6,1
7,32,3,7,0
6,70,1,4,0
1,9,0,0,0
3,28,5,2,1
108,388,9,55,0
2,21,4,2,0
55,254,8,41,1
11,133,7,19,0
3,55,5,11,0
1,18,4,0,0
81,308,14,41,0
55,214,15,38,1
3,32,1,3,0
2,18,5,2,0
1,18,4,0,0
1,16,4,2,0
3,11,1,2,0
1,18,1,0,0
11,57,2,6,0
4,108,5,15,0
3,48,4,6,0
5,60,8,8,0
3,7,0,2,0
4,8,0,2,0
3,7,0,2,0
6,17,1,2,0
3,10,0,3,0
13,63,3,12,0
5,15,1,2,0
1,3,0,1,0
1,10,0,2,0
5,16,0,4,0
2,6,0,1,0
5,22,3,2,1
2,6,0,1,0
3,6,0,1,0
3,3,0,1,0
15,70,8,6,1
2,6,0,1,0
5,14,1,3,0
4,8,0,1,0
2,3,0,1,0
1,3,0,1,0
5,17,1,3,0
2,9,0,2,0
1,3,0,1,0
6,17,0,3,0
3,9,1,1,0
3,10,0,1,0
8,69,1,4,0
2,60,1,3,0
11,153,1,8,0
1,53,1,0,1
11,168,1,10,0
1,54,1,0,1
4,109,1,8,1
3,102,1,7,1
1,53,1,0,0
11,186,1,11,1
13,99,1,7,1
45,139,1,13,1
22,85,1,8,0
1,50,1,0,0
27,124,1,19,0
16,116,1,11,1
16,121,1,11,1
11,162,1,10,1
58,156,1,17,1
13,98,1,7,0
67,177,1,11,1
3,61,1,1,0
10,96,1,4,0
1,51,1,0,0
2,76,1,1,0
3,74,1,1,1
2,75,1,1,0
3,87,1,5,0
20,103,1,8,0
5,66,1,1,0
5,62,1,1,0
5,66,1,1,0
5,66,1,1,0
5,62,1,1,0
5,66,1,1,0
5,66,1,1,0
5,66,1,1,0
5,66,1,3,0
34,105,1,7,1
34,107,1,7,0
34,107,1,7,0
34,107,1,7,1
4,75,1,2,0
1,63,1,0,0
3,110,1,7,1
27,121,1,3,1
1,56,1,1,0
1,55,1,0,0
10,67,1,2,0
10,71,1,2,0
29,103,1,2,0
8,72,1,3,1
3,92,1,1,0
3,92,1,1,0
7,73,1,6,0
28,123,1,14,0
28,121,1,14,0
20,119,1,15,0
18,92,1,15,0
69,159,1,15,0
57,153,1,15,1
42,115,1,8,1
12,92,1,10,0
15,74,1,9,0
52,137,1,12,0
3,62,1,2,0
14,104,1,5,0
14,146,1,8,0
15,74,1,9,0
10,90,1,6,0
4,79,1,1,0
3,100,1,7,0
19,121,1,16,0
8,73,1,4,0
24,116,1,6,0
3,115,1,7,0
4,81,1,1,0
21,134,1,12,0
3,64,1,4,0
20,123,1,10,0
8,91,1,5,1
14,113,1,5,1
9,58,1,0,0
22,84,1,8,0
15,80,1,7,0
25,97,1,7,0
44,199,1,17,0
15,74,1,9,0
15,73,1,9,0
1,54,1,0,0
1,87,1,4,0
1,58,1,0,0
19,118,1,15,1
31,96,1,3,1
31,98,1,3,1
1,57,1,0,0
8,83,1,2,0
20,119,1,15,1
30,133,1,7,1
9,64,1,5,0
3,61,1,1,0
4,73,1,1,0
